Numero;Especie;Individuo;Hoja;Area;Biomasa_g;AreaSobreBiomas;Observación
0;Ceiba;1;1;223.953172164444;2.3677;94.58680245151159;
1;Ceiba;1;1;223.953172164444;2.3677;94.58680245151159;
2;Ceiba;1;2;251.428027608889;2.2800000000000002;110.27545070565306;
3;Ceiba;1;4;241.074499928889;2.3785;101.35568632705025;
4;Ceiba;1;6;312.889338377778;3.0985000000000005;100.98090636688009;
5;Ceiba;1;7;268.630502164444;2.4174;111.12372886756184;
6;Ceiba;1;8;236.268344666667;2.4357;97.00223536012932;
7;Ceiba;1;9;318.483807475556;3.1769999999999996;100.2467130864199;
8;Ceiba;1;10;319.2484654444449;2.8929;110.3558593260897;
9;Ceiba;1;11;261.658401413333;2.2860000000000005;114.4612429629628;
10;Ceiba;1;12;92.6864812933333;0.8788999999999998;105.4573686350362;
11;Ceiba;1;13;297.777253906667;2.9459;101.08192875069317;
12;Ceiba;1;14;251.5963426844447;2.2473;111.95494267985791;
13;Ceiba;1;15;351.944600768889;2.9189999999999996;120.57026405237721;
14;Nispero;1;1;124.069070857778;1.8598999999999999;66.70738795514706;
15;Nispero;1;2;146.169528448889;1.7302;84.48129028371807;
16;Nispero;1;3;118.793812591111;1.4918000000000002;79.6311922450134;
17;Nispero;1;4;117.424137911111;1.7264;68.0167619967047;
18;Nispero;1;5;111.777482537778;1.6795000000000002;66.55402354139802;
19;Nispero;1;6;162.054227862222;2.1033;77.04760512633577;
20;Nispero;1;7;221.675900733333;2.8926;76.63551847242378;
21;Nispero;1;8;136.486895484444;1.5581;87.59828989438675;
22;Nispero;1;9;152.200412444444;1.8764;81.11298893862929;
23;Nispero;1;10;93.9127154;1.214;77.35808517298187;
24;Nispero;1;13;111.876192017778;1.4635999999999998;76.43904893261684;
25;Nispero;1;14;202.936081582222;2.604;77.93244300392548;
26;Nispero;1;15;140.555274444444;1.6344;85.99808764344345;
27;Chiminago;1;1;46.0171839511111;0.2649999999999999;173.64975075890987;
28;Chiminago;1;3;39.3627886577778;0.36940000000000006;106.55871320459607;
29;Chiminago;1;4;32.3024443555556;0.2633;122.68303970966807;
30;Chiminago;1;5;17.9353763155556;0.12119999999999997;147.9816527686106;
31;Chiminago;1;6;19.38641284;0.18869999999999998;102.73668701642819;
32;Chiminago;1;7;22.6899187777778;0.16600000000000004;136.6862576974566;
33;Chiminago;1;8;40.8126782311111;0.23349999999999993;174.7866305400904;
34;Chiminago;1;9;21.0028253777778;0.1773;118.45925198972249;
35;Chiminago;1;11;31.5185032711111;0.17799999999999994;177.07024309612984;
36;Chiminago;1;12;24.9017423111111;0.21420000000000006;116.2546326382404;
37;Chiminago;1;13;26.4668287866667;0.1906;138.8605917453657;
38;Chiminago;1;14;34.4937661377778;0.2077;166.07494529503032;
39;Chiminago;1;15;21.6218205555556;0.19390000000000007;111.51016274139037;
40;Ebano ;1;1;41.7581960533333;0.24880000000000013;167.83840857449067;
41;Ebano ;1;2;27.2300530666667;0.30099999999999993;90.46529258028805;
42;Ebano ;1;3;33.9240181733333;0.22270000000000012;152.33057105223747;
43;Ebano ;1;5;27.7519875066667;0.08800000000000008;315.3634943939395;
44;Ebano ;1;6;27.5183679022222;0.2530000000000001;108.7682525779533;
45;Ebano ;1;7;22.6951517422222;0.2178;104.20179863279247;
46;Ebano ;1;8;42.8202010977778;0.24120000000000008;177.52985529758615;
