;Especie;Individuo;Hoja;Area(cm2,algoritmoFlorian);Biomasa(g)
0;Ceiba;1;1;223,953172164444;2,3677
1;Ceiba;1;1;223,953172164444;2,3677
2;Ceiba;1;2;251,428027608889;2,2800000000000002
3;Ceiba;1;3;325,2703172000004;2,6343000000000005
4;Ceiba;1;4;241,074499928889;2,3785
5;Ceiba;1;5;0,0;3,1016999999999997
6;Ceiba;1;6;312,889338377778;3,0985000000000005
7;Ceiba;1;7;268,630502164444;2,4174
8;Ceiba;1;8;236,268344666667;2,4357
9;Ceiba;1;9;318,483807475556;3,1769999999999996
10;Ceiba;1;10;319,2484654444449;2,8929
11;Ceiba;1;11;261,658401413333;2,2860000000000005
12;Ceiba;1;12;92,6864812933333;0,8788999999999998
13;Ceiba;1;13;297,777253906667;2,9459
14;Ceiba;1;14;251,5963426844447;2,2473
15;Ceiba;1;15;351,944600768889;2,9189999999999996
16;Nispero;1;1;124,069070857778;1,8598999999999999
17;Nispero;1;2;146,169528448889;1,7302
18;Nispero;1;3;118,793812591111;1,4918000000000002
19;Nispero;1;4;117,424137911111;1,7264
20;Nispero;1;5;111,777482537778;1,6795000000000002
21;Nispero;1;6;162,054227862222;2,1033
22;Nispero;1;7;221,675900733333;2,8926
23;Nispero;1;8;136,486895484444;1,5581
24;Nispero;1;9;152,200412444444;1,8764
25;Nispero;1;10;93,9127154;1,214
26;Nispero;1;11;111,232609075556;1,1797
27;Nispero;1;12;53,6869894;0,8276999999999999
28;Nispero;1;13;111,876192017778;1,4635999999999998
29;Nispero;1;14;202,936081582222;2,604
30;Nispero;1;15;140,555274444444;1,6344
31;Chiminago;1;1;46,0171839511111;0,2649999999999999
32;Chiminago;1;2;25,6138555822222;0,12229999999999996
33;Chiminago;1;3;39,3627886577778;0,36940000000000006
34;Chiminago;1;4;32,3024443555556;0,2633
35;Chiminago;1;5;17,9353763155556;0,12119999999999997
36;Chiminago;1;6;19,38641284;0,18869999999999998
37;Chiminago;1;7;22,6899187777778;0,16600000000000004
38;Chiminago;1;8;40,8126782311111;0,23349999999999993
39;Chiminago;1;9;21,0028253777778;0,1773
40;Chiminago;1;10;32,7397911511111;0,6469999999999999
41;Chiminago;1;11;31,5185032711111;0,17799999999999994
42;Chiminago;1;12;24,9017423111111;0,21420000000000006
43;Chiminago;1;13;26,4668287866667;0,1906
44;Chiminago;1;14;34,4937661377778;0,2077
45;Chiminago;1;15;21,6218205555556;0,19390000000000007
46;Ebano ;1;1;41,7581960533333;0,24880000000000013
47;Ebano ;1;2;27,2300530666667;0,30099999999999993
48;Ebano ;1;3;33,9240181733333;0,22270000000000012
49;Ebano ;1;4;20,6059802933333;0,0596000000000001
50;Ebano ;1;5;27,7519875066667;0,08800000000000008
51;Ebano ;1;6;27,5183679022222;0,2530000000000001
52;Ebano ;1;7;22,6951517422222;0,2178
53;Ebano ;1;8;42,8202010977778;0,24120000000000008
